Дж 20;sculpture_marble;мрамор;белый;140 см;438 кг;1200*650*150;Скульптура скорбящий ангел .Изготовлено из белого мрамора.
Дж 41;sculpture_marble;мрамор;белый;50 см;15 кг;500*250*250;Скульптура  ангел  с молитвой .Изготовлено из белого мрамора.
Дж 44;sculpture_marble;мрамор;белый;30 см;15 кг;300*300*500;Скульптура спящий ангел .Изготовлено из белого мрамора.
Дж 46;sculpture_marble;мрамор;белый;130 см;441 кг;1300*600*600;Скульптура скорбящий ангел .Изготовлено из белого мрамора.
Дж 47;sculpture_marble;мрамор;белый;130 см;650 кг;1100*850*450;Скульптура скорбящий ангел сидит на тумбе.Изготовлено из белого мрамора.Вставка черный гранит.
Дж 48;sculpture_marble;мрамор;белый;100 см;250 кг;950*450*400;Скульптура скорбящая девушка на коленях с цветами .Изготовлено из белого мрамора.
Дж 49;sculpture_marble;мрамор;белый;150 см;980 кг;1300*1000*400;Скульптура скорбящий ангел с паспущенными волосами .Изготовлено из белого мрамора.
Дж 51;sculpture_marble;мрамор;белый;130 см;380 кг;1200*1000*150;Скульптура скорбящая девушка с сердцем.Изготовлено из белого мрамора.
Дж 70;sculpture_marble;мрамор;белый;131 см;260 кг;1100*800*150;Скульптура скорбящая девушка с сердцем.Изготовлено из белого мрамора.
Дж мр 85;sculpture_marble;мрамор;белый;134 см;384 кг;1200*450*85;Скульптура скорбящая девушка с ребенком.Изготовлено из белого мрамора.
Дж мр 86;sculpture_marble;мрамор;белый;135 см;700 кг;1200*1000*155;Скульптура скорбящая девушка .Изготовлено из белого мрамора.Вставка черная гранитная плитка
Дж 1;sculpture_granit;гранит;чёрный;145 см;650 кг;1200*1000*150;Скульптура скорбящего ангела из черного гранита.
Дж 2;sculpture_granit;гранит;чёрный;146 см;420 кг;1200*1000*120;Скульптура скорбящего ангела ,внизу стилизованное сердце .Изготовлено из черного гранита.
Дж 3;sculpture_granit;гранит;коричневый;100 см;421 кг;700*600*120;Скульптура стоящего ангела с цветами. Гранит Аврораю
Дж 4;sculpture_granit;гранит;красный;150 см;450 кг;1300*1000*100;Скульптура двух голубков и сердца. Изготовлено из красного гранита.
Дж 5;sculpture_granit;гранит;чёрный;140 см;600 кг;1200*1000*150;Скульптура скорбящего ангела ,сбоку сердце и цветы .Изготовлено из черного гранита.
Дж 6;sculpture_granit;гранит;чёрный;130 см;250 кг;1100*1300*80;Скульптура бабочки махаон .Изготовлено из черного гранита.
Дж 7;sculpture_granit;гранит;чёрный;110 см;320 кг;900*750*150;Скульптура распускающих цветов .Изготовлено из черного гранита.
Дж 8;sculpture_granit;гранит;чёрный;165 см;1000 кг;1400*1000*140;Скульптура скорбящего ангела с цветами .Изготовлено из черного гранита.
Дж 9;sculpture_granit;гранит;чёрный;130 см;427 кг;1100*1200*120;Скульптура скорбящего ангела  на коленях .Изготовлено из черного гранита.
Дж 10;sculpture_granit;гранит;чёрный;130 см;380  кг;1100*1300*120;Скульптура ангелочка у сердца. Изготовлено из черного гранита.
Дж 11;sculpture_granit;гранит;синий;155 см;650 кг;1300*1000*120;Скульптура скорбящей девушки .Изготовлено из гранита Бахама Блю
Дж 12;sculpture_granit;гранит;чёрный;170  см;950  кг;1600*900*150;Скульптура обнимающих крыльев ангела.Изготовлено из черного гранита.
Дж 13;sculpture_granit;гранит;чёрный;105 см;270 кг;1000*1000*80;Скульптура сердца с розами.Изготовлено из черного гранита.
Дж 14;sculpture_granit;гранит;чёрный;158 см;432 кг;1200*1000*132;Скульптура паровозика .Изготовлено из черного гранита.
Дж 15;sculpture_granit;гранит;коричневый;110  см;350  кг;1000*900*150;Скульптура ангела  с бабочками .Изготовлено из коричневого гранита Таун Браун.
Дж 16;sculpture_granit;гранит;синий;100 см;150  кг;1000*700*80;Скульптура медвежонка .Изготовлено из синего гранита.
Дж 17;sculpture_granit;гранит;чёрный;110 см;980 кг;1000*550*60;Скульптура ангела  и сердца .Изготовлено из черного гранита.
Дж 18;sculpture_granit;гранит;чёрный;162 см;180 кг;1000*550*60;Скульптура мишки с кубиком .Изготовлено из черного гранита.
Дж 19;sculpture_granit;гранит;чёрный;200 см;1100 кг;1800*820*250;Скульптура кисти руки держащая брилиант.Изготовлено из черного гранита.
Дж 21;sculpture_granit;гранит;чёрный;170 см;550 кг;1200*800*150;Скульптура скорбящего ангела .Изготовлено из черного гранита.
Дж 43;sculpture_granit;гранит,мрамор;чёрный и белый;75 см;200 кг;стела 650*350*70 тумба 300*200*200 ангел 200*150*150;Скульптурная композиция ангел у ворот.Изготовлено из черного гранита и белого мрамора.
Дж 45;sculpture_granit;гранит;цветной;120 см;441 кг;1000*1200*400;Скульптура мотоцикла Дукати .Изготовлено из цветного гранита.
Дж 52;sculpture_granit;гранит;чёрный;130 см;310 кг;1200*900*80;Скульптура с летящим ангелом .Изготовлено из черного гранита.
Дж 53;sculpture_granit;гранит;чёрный;80 см;190 кг;800*900*100;Скульптура маяка .Изготовлено из черного гранита.
Дж 65;sculpture_granit;гранит;чёрный;130 см;250 кг;1100*1000*70;Скульптура двух лебедей и сердца .Изготовлено из черного гранита.
Дж 66;sculpture_granit;гранит;чёрный,серый;110 см;600 кг;1000*1400*300;Скульптура спортбайка .Изготовлено из серого и черного гранита.
Дж 67;sculpture_granit;гранит;серый;100 см;252 кг;900*1000*300;Скульптура сидящего ангела .Изготовлено из серого гранита.
Дж 71;sculpture_granit;гранит;чёрный;80 см;120 кг;800*750*70;Скульптура медвежонка .Изготовлено из черного гранита.
Дж 72;sculpture_granit;гранит;чёрный;130 см;254 кг;1100*750*80;Скульптура цветков лилия .Изготовлено из черного гранита.
Дж 73;sculpture_granit;гранит;чёрный;110 см;490 кг;900*1000*150;Скульптура ангела с тюльпанами .Изготовлено из черного гранита.
Дж 74;sculpture_granit;гранит;чёрный;125 см;320 кг;900*1000*100;Скульптура  сердца .Изготовлено из черного гранита.
