лавочка ТО 3;bench_granit_black;черный гранит;черный;47 см;65 кг;Скамья 40*900*300 Стойка скамьи 410*250*70
лавочка ТЦ 5;bench_granit_black;черный гранит;черный;47 см;65 кг;Скамья 100*25*5 Стойка скамьи 50*25*5
лавочка ТО 4;bench_granit_black;черный гранит;черный;47 см;65 кг;Скамья 40*900*300 Стойка скамьи 410*150*150
лавочка ТО 5;bench_granit_black;черный гранит;черный;47 см;65 кг;Скамья 40*900*300 Стойка скамьи 410*150*150
лавочка TSK 50;bench_granit_black;черный гранит;черный;47 см;65 кг;Скамья 800*300*40 Опора скамьи 420*140*140
лавочка TSR 50;bench_granit_black;черный гранит;черный;47 см;65 кг;Скамья 800*300*40 Опора скамьи 420*140*140
лавочка TSK 90;bench_granit_black;черный гранит;черный;47 см;65 кг;Скамья 900*300*30 Опора скамьи 450*120*120   
лавочка Кен;bench_granit_black;черный гранит;черный;47 см;65 кг;Скамья 1000*400*40   Опора скамьи 420*140*140
лавочка Сигма ;bench_granit_black;черный гранит;черный;47 см;65 кг;Скамья 1000*400*40   Опора скамьи 420*140*141  ( 2 штуки)
лавочка Ласточка;bench_granit_black;черный гранит;черный;47 см;65 кг;Скамья 160*160.Ножка 1 и 3:30*30*30.Ножка 2:40*40*30
лавочка ТО 3 светло серая;bench_granit_gray;светло серый гранит;светло серый ;47 см;65 кг;Скамья 40*900*300 Стойка скамьи 410*250*70
лавочка ТО 4 светло серая;bench_granit_gray;Светло серый гранит;Светло серый;47 см;65 кг;Скамья 40*900*300 Стойка скамьи 410*150*150
Столик ТО 3;table_granit_black;черный гранит;черный;87 см;111 кг;Столешница    30*600*500 Стойка столешницы 750*100*100
Столик ТЦ 5;table_granit_black;черный гранит;черный;87 см;111 кг;Столешница    60*50*5 Стойка столешницы 70*10*10
Столик ТО 4;table_granit_black;черный гранит;черный;87 см;111 кг;Столешница    30*600*600 Стойка столешницы 750*250*250 Стойка разборная
Столик ТО 5;table_granit_black;черный гранит;черный;87 см;111 кг;Столешница    30*600*600 Стойка столешницы 750*250*250 Стойка разборная
Столик TSK 50;table_granit_black;черный гранит;черный;87 см;111 кг;Столешница    500*500*30 Опора столешницы 750*150*150 
Столик TSR 50;table_granit_black;черный гранит;черный;87 см;111 кг;Столешница    500*500*30 Опора столешницы 750*150*150
Столик TSK 90;table_granit_black;черный гранит;черный;93 см;111 кг;Столешница    900*400*30 Опора столешницы 900*120*120
Столик Кен;table_granit_black;черный гранит;черный;87 см;111 кг;Столешница    800*800*30 Опора столешницы 750*150*150
Столик Сигма;table_granit_black;черный гранит;черный;87 см;111 кг;Столешница    1000*800*30 Опора столешницы 750*150*151  
Стол Ласточка;table_granit_black;черный гранит;черный;87 см;111 кг;Столешница 100*60*5 Ножка стола: 25*60
Столик ТО 3 светло серый;table_granit_gray;Светло серый гранит;Светло серый;87 см;111 кг;Столешница    30*600*500 Стойка столешницы 750*100*100
Столик ТО 4 светло серый;table_granit_gray;Светло серый гранит;Светло серый;87 см;111 кг;Столешница    30*600*600 Стойка столешницы 750*250*250 Стойка разборная
комплект ТО 3;complex_granit_black;черный гранит;черный;87 см;176 кг;Скамья 40*900*300 Стойка скамьи 410*250*70  Столешница    30*600*500 Стойка столешницы 750*100*100
