Ваза Дуэт;vase_natural_flowers;пластик;темный;Высота изделия в сборе: 250 мм.;Ваза ритуальная “ВАЗАРИТ” предназначена для установки в почву внутри цветников и последующего размещения в ней живых и искусственных цветов.Изделие состоит и двух частей: внешней (рис. 1) и внутренней (рис. 2) колб, не пропускающих воду, ударопрочных и стойких к воздействию низких температур.Температурный диапазон эксплуатации: от -50С? до +110С?. 
Ваза квадро;vase_natural_flowers;пластик;выпускается в двух базовых цветах: “гранит” и “матовый-прозрачный”;Высота изделия в сборе: 250 мм.;Использование в качестве  вазы для размещения в ней живых цветов и искусственных композиций. Температурный диапазон эксплуатации: от -50С? до +110С?. 
Ваза Мраморная крошка;vase_natural_flowers;бетон;бело/серый;27 см;Вазы из бетона и наполнителя мраморная крошка
Ваза 1;vase_universal;гранит,мрамор;черный,красный,зеленный,голубой,светло-серый,коричневый;от 20 см до 60 см;Классическая форма вазы
Ваза 2;vase_universal;гранит,мрамор;черный,красный,зеленный,голубой,светло-серый,коричневый;от 20 см до 60 см;Классическая форма вазы с удлиненной ножкой
Ваза 3;vase_universal;гранит,мрамор;черный,красный,зеленный,голубой,светло-серый,коричневый;от 20 см до 60 см;Узкая форма классической вазы
Ваза 4;vase_universal;гранит,мрамор;черный,красный,зеленный,голубой,светло-серый,коричневый;от 20 см до 60 см;Классическая форма вазы с утолщенным верхом
Ваза 5;vase_universal;гранит,мрамор;черный,красный,зеленный,голубой,светло-серый,коричневый;от 20 см до 60 см;Широкая классическая форма вазы 
Ваза 8;vase_universal;гранит,мрамор;черный,красный,зеленный,голубой,светло-серый,коричневый;от 20 см до 60 см;Форма Сигма
Ваза 9;vase_universal;гранит,мрамор;черный,красный,зеленный,голубой,светло-серый,коричневый;от 20 см до 60 см;Форма вазы  в виде открытого цветка
Ваза 10;vase_universal;гранит,мрамор;черный,красный,зеленный,голубой,светло-серый,коричневый;от 20 см до 60 см;Форма вазы  в виде закрытого бутона тюльпана
Полу-ваза мрамор;vase_universal;мрамор;от белого, бледно-розового и кремового до серого, розово-оранжевого и ярко-розового. Рисунок камня пятнистый, полосчатый, либо однородный.;от 20 см до 60 см;Половинка вазы приклеивается к поверхности памятника и являет собой единое целое с памятником.
Полу-ваза гранит;vase_universal;гранит;черный,красный,зеленный,голубой,светло-серый,коричневый;от 20 см до 60 см;Половинка вазы приклеивается к поверхности памятника и являет собой единое целое с памятником.
бронза 1030;vase_decorative;гранит;Бронза.Производсто Италия;20 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 4021;vase_decorative;гранит;Бронза.Производсто Италия;30 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 1110;vase_decorative;гранит;Бронза.Производсто Италия;20 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 6452;vase_decorative;гранит;Бронза.Производсто Италия;20 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 1155;vase_decorative;гранит;Бронза.Производсто Италия;28 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 5043;vase_decorative;гранит;Бронза.Производсто Италия;28 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 1227;vase_decorative;гранит;Бронза.Производсто Италия;18 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 60010;vase_decorative;гранит;Бронза.Производсто Италия;29 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 63140;vase_decorative;гранит;Бронза.Производсто Италия;20 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 4225;vase_decorative;гранит;Бронза.Производсто Италия;20 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 2240;vase_decorative;гранит;Бронза.Производсто Италия;20 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 2183;vase_decorative;гранит;Бронза.Производсто Италия;20 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 1270;vase_decorative;гранит;Бронза.Производсто Италия;12см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 6892;vase_decorative;гранит;Бронза.Производсто Италия;29 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 5974;vase_decorative;гранит;Бронза.Производсто Италия;20 см;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 2244;vase_decorative;гранит;Бронза.Производсто Италия;30 см;Индивидуальная  форма вазы. Производство Италия. Бронза
