Дж 18;popular_memorials;гранит;черный;99 см;140 кг;850*1000*50;
Дж 22;popular_memorials;гранит;черный;114 см;74 кг;1000*600*60;
Дж 37;popular_memorials;гранит;черный;150 см;220 кг;1300*600*80;
Дж 42 100;popular_memorials;гранит;черный;112 см;100 кг;1000*500*50;
Дж 54 80;popular_memorials;гранит;черный;92 см;80 кг;800*400*50;
Дж 54 100;popular_memorials;гранит;черный;112 см;100 кг;1000*500*50;
Дж 54;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;
Дж 64 80;popular_memorials;гранит;черный;92 см;80 кг;800*400*50;
Дж 67;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;
Дж 75;popular_memorials;гранит;черный;150 см;220 кг;1300*600*80;
Дж 76;popular_memorials;гранит;черный;134 см;160 кг;1200*600*60;
Дж 80;popular_memorials;гранит;черный;170 см;250 кг;1500*400*100;
Дж 85;popular_memorials;гранит;черный;140 см;190 кг;1200*550*70;
Дж 90;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;
Дж 91;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;
Ем 11 100 светло серый с БГП;popular_memorials;гранит;светло-серый;112 см;100 кг;1000*450*50;
Ем 11 100 темно серый с БГП;popular_memorials;гранит;темно-серый;112 см;102 кг;1000*450*50;
Ем 18 80 светло серый;popular_memorials;гранит;светло-серый;92 см;80 кг;800*400*50;
Ем 29 семейный;popular_memorials;гранит;черный;120 см;160 кг;1100*600*70;
Ем 55 кор;popular_memorials;гранит;коричневый;120 см;180 кг;1000*600*70;
Ем 55 син;popular_memorials;гранит;синий;120 см;180 кг;1000*600*70;
Ем 57 син;popular_memorials;гранит;синий;130 см;180 кг;1100*600*70;
Ем 76;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;
Ем 80 кор;popular_memorials;гранит;коричневый;130 см;180 кг;1100*600*70;
Ем 80 красн;popular_memorials;гранит;красный;130 см;180 кг;1100*600*70;
Ем 81 красн;popular_memorials;гранит;красный;130 см;180 кг;1100*600*70;
Ем 110;popular_memorials;гранит;черный;130 см;180 кг;1100*600*70;
Ме 9 эконом;popular_memorials;гранит;черный;67 см;120 кг;650*1100*50;
Ме 19 эконом;popular_memorials;гранит;черный;67 см;120 кг;650*1100*50;
Ме 30 80;popular_memorials;гранит;черный;92 см;80 кг;800*400*50;
Ме 30 100;popular_memorials;гранит;черный;112 см;100 кг;1000*500*50;
Ме 38 100;popular_memorials;гранит;черный;112 см;100 кг;1000*500*50;
Ме 56 зел;popular_memorials;гранит;зеленый;130 см;150 кг;1100*500*70;
Ме 65 зел;popular_memorials;гранит;зеленый;130 см;180 кг;1100*600*70;
Ме 80 40 5 прямой;popular_memorials;гранит;черный;92 см;80 кг;800*400*50;
Ме 110;popular_memorials;гранит;черный;120 см;200 кг;1100*500*70 - 2 шт;
Ме 202 80 светло серый с БГП;popular_memorials;гранит;светло-серый;92 см;83 кг;800*400*50;
Ме 202 80;popular_memorials;гранит;черный;92 см;80 кг;800*400*50;
Ме 202 100;popular_memorials;гранит;черный;112 см;100 кг;1000*500*50;
