Подкатегория;Наименование;Характеристики ;;;;;;;;;;;;;;;;;;;;;;Размер памятника в комплекте;;;Цена;Цена фацета
;;Материал;Цвет;Полировка;Высота;Вес;Объём;Размер;Срок изготовления;Размер фракции;Единица измерения;Форма;Высота пролёта;Высота столба;Обивка;Закрутки;Ручки несущие;Лакировка;Форма;Фурнитура;Ручная резьба;Отделка;Крышка;Стелла (в/ш/т);Тумба (в/ш/т);Цветник (в/ш/т);;
budgetary;Убп 60;гранит;черно-серый;лицевая сторона;72 см;90 кг;;;10 дней;;;;;;;;;;;;;;;60 × 40 × 5 см;50 × 15 × 12 см;80 × 8 × 6 см;8 500;
budgetary;Убп 80;гранит;черно-серый;лицевая сторона;92 см;110 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 12 см;80 × 8 × 6 см;11500;
budgetary;У 80;гранит;черно-серый;все стороны;92 см;110 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 12 см;80 × 8 × 6 см;11900;
budgetary;Убп 1.7 80;гранит;черно-серый;лицевая сторона;92 см;110 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 12 см;80 × 8 × 6 см;10500;
budgetary;У 1.7 80;гранит;черно-серый;все стороны;92 см;110 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 12 см;80 × 8 × 6 см;11700;
budgetary;Убп 2.5 80;гранит;черно-серый;лицевая сторона;92 см;110 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 12 см;80 × 8 × 6 см;12500;
budgetary;Убп 4.7 80;гранит;черно-серый;лицевая сторона;92 см;110 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 12 см;80 × 8 × 6 см;12700;
budgetary;Убп 6.5 80;гранит;черно-серый;лицевая сторона;92 см;110 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;50 × 15 × 12 см;80 × 8 × 6 см;13800;
budgetary;Убп 100;гранит;черно-серый;лицевая сторона;112 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;13000;
budgetary;У 100;гранит;черно-серый;все стороны;112 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 45 × 5 см;50 × 20 × 12 см;100 × 8 × 6 см;13900;
budgetary;Убп 1.7 100;гранит;черно-серый;лицевая сторона;112 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;60 × 20 × 12 см;100 × 8 × 6 см;13900;
budgetary;У 1.7 100;гранит;черно-серый;все стороны;112 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;60 × 20 × 12 см;100 × 8 × 6 см;15300;
budgetary;Убп 2.5 100;гранит;черно-серый;лицевая сторона;112 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;60 × 20 × 12 см;100 × 8 × 6 см;14900;
budgetary;У 2.5 100;гранит;черно-серый;все стороны;112 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;60 × 20 × 12 см;100 × 8 × 6 см;16500;
budgetary;Убп 4.7 100;гранит;черно-серый;лицевая сторона;112 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;60 × 20 × 12 см;100 × 8 × 6 см;15400;
budgetary;Убп 5.3 100;гранит;черно-серый;лицевая сторона;112 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;60 × 20 × 12 см;100 × 8 × 6 см;16300;
budgetary;Убп 6.5 100;гранит;черно-серый;лицевая сторона;112 см;150 кг;;;10 дней;;;;;;;;;;;;;;;100 × 50 × 5 см;60 × 20 × 12 см;100 × 8 × 6 см;16900;
budgetary;Убп 9.3 ;гранит;черно-серый;лицевая сторона;72 см;170 кг;;;10 дней;;;;;;;;;;;;;;;60 × 90 × 5 см;60 × 20 × 12 см;100 × 8 × 6 см;19000;
budgetary;Убп 12.5;гранит;черно-серый;лицевая сторона;82 см;250 кг;;;10 дней;;;;;;;;;;;;;;;70 × 100 × 5 см;60 × 20 × 12( 2 шт) см;100 × 8 × 6 см;27800;
granit_econom;Ем 18 80 с;гранит;светло-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;9900;
granit_econom;Ем 19 80 с;гранит;светло-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;9900;
granit_econom;Ем 29 80 с;гранит;светло-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;10200;
granit_econom;Ем 48 80 с;гранит;светло-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;9900;
granit_econom;Ем 58 80 с;гранит;светло-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;10500;
granit_econom;Ме 202 80 с;гранит;светло-серый ;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;9700;
granit_econom;Ме 607 80 с;гранит;светло-серый ;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;9900;
granit_econom;Ме 608 80 с;гранит;светло-серый ;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;9900;
granit_econom;Ем 18 80 с БГП;гранит;светло-серый с плиткой;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;10900;
granit_econom;Ем 19 80 с БГП;гранит;светло-серый с плиткой;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;10900;
granit_econom;Ем 29 80 с БГП;гранит;светло-серый с плиткой;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;10900;
granit_econom;Ем 48 80 с БГП;гранит;светло-серый с плиткой;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;10900;
granit_econom;Ме 202 80 с БГП;гранит;светло-серый с плиткой;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;10900;
granit_econom;Ме 607 80 с БГП;гранит;светло-серый с плиткой;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;10900;
granit_econom;Ме 608 80 с БГП;гранит;светло-серый с плиткой;все стороны;94 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 45 × 5 см;50 × 15 × 14 см;90 × 8 × 5 см;10900;
granit_econom;Ем 18 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11200;
granit_econom;Ем 19 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11200;
granit_econom;Ем 41 80 т;гранит;темно-серый ;все стороны;92 см;80 кг;;;10 дней;;;;;;;;;;;;;;;80 × 40 × 5 см;55 × 16 × 12 см;100 × 7 × 5 см;11200;
