лавочка ТО 3;bench_granit_black;черный гранит;черный;47 см;65 кг
лавочка ТЦ 5;bench_granit_black;черный гранит;черный;47 см;65 кг
лавочка ТО 4;bench_granit_black;черный гранит;черный;47 см;65 кг
лавочка ТО 5;bench_granit_black;черный гранит;черный;47 см;65 кг
лавочка TSK 50;bench_granit_black;черный гранит;черный;47 см;65 кг
лавочка TSR 50;bench_granit_black;черный гранит;черный;47 см;65 кг
лавочка TSK 90;bench_granit_black;черный гранит;черный;47 см;65 кг
лавочка Кен;bench_granit_black;черный гранит;черный;47 см;65 кг
лавочка Сигма ;bench_granit_black;черный гранит;черный;47 см;65 кг
Лавочка  Ласточка ;bench_granit_black;черный гранит;черный;47 см;65 кг
Лавочка Тц 7;bench_granit_black;черный гранит;черный;41 см;35 кг
лавочка ТО 3 светло серая;bench_granit_gray;светло серый гранит;светло серый ;47 см;65 кг
лавочка ТО 4 светло серая;bench_granit_gray;Светло серый гранит;Светло серый;47 см;65 кг
Лавочка  Ласточка светло серая;bench_granit_gray;Светло серый гранит;Светло серый;47 см;65 кг
Лавочка Тц 12 светло серый ;bench_granit_gray;Светло серый гранит;Светло серый;47 см;100 кг
Лавочка Дж 11 светло серая;bench_granit_gray;Светло серый гранит;Светло серый;40 см;150 кг
Столик ТО 3;table_granit_black;черный гранит;черный;87 см;111 кг
Столик ТЦ 5;table_granit_black;черный гранит;черный;87 см;111 кг
Столик ТО 4;table_granit_black;черный гранит;черный;87 см;111 кг
Столик ТО 5;table_granit_black;черный гранит;черный;87 см;111 кг
Столик TSK 50;table_granit_black;черный гранит;черный;87 см;111 кг
Столик TSR 50;table_granit_black;черный гранит;черный;87 см;111 кг
Столик TSK 90;table_granit_black;черный гранит;черный;93 см;111 кг
Столик Кен;table_granit_black;черный гранит;черный;87 см;111 кг
Столик Сигма;table_granit_black;черный гранит;черный;87 см;111 кг
Стол Ласточка;table_granit_black;черный гранит;черный;87 см;111 кг
Стол Тц 7;table_granit_black;черный гранит;черный;90 см;100 кг
Столик ТО 3 светло серый;table_granit_gray;Светло серый гранит;Светло серый;87 см;111 кг
Столик ТО 4 светло серый;table_granit_gray;Светло серый гранит;Светло серый;87 см;111 кг
Стол Тц 12 светло серый ;table_granit_gray;Светло серый гранит;Светло серый;69 см;100кг
Комплект ТО 3;complex_granit_black;черный гранит;черный;87 см;176 кг
Комплект  ТЦ 5;complex_granit_black;черный гранит;черный;87 см;176 кг
Комплект ТО 4;complex_granit_black;черный гранит;черный;87 см;176 кг
Комплект ТО 5;complex_granit_black;черный гранит;черный;87 см;176 кг
Комплект TSK 50;complex_granit_black;черный гранит;черный;87 см;176 кг
Комплект TSR 50;complex_granit_black;черный гранит;черный;87 см;176 кг
Комплект TSK 90;complex_granit_black;черный гранит;черный;93 см;176 кг
Комплект Кен;complex_granit_black;черный гранит;черный;87 см;176 кг
Комплект Сигма;complex_granit_black;черный гранит;черный;87 см;176 кг
Комплект Ласточка;complex_granit_black;черный гранит;черный;87 см;176 кг
Комплект Тц 7;complex_granit_black;черный гранит;черный;90 см;135 кг
Комплект  ТО 3 светло серый;complex_granit_gray;светло серый гранит;светло серый ;87 см;176 кг
Комплект ТО 4 светло серый ;complex_granit_gray;Светло серый гранит;Светло серый;87 см;176 кг
Комплект Тц 12 светло серый ;complex_granit_gray;Светло серый гранит;Светло серый;69 см;200 кг
Лавочка железная;bench_econom_iron;Материал:  металл;Чёрный,серый,коричневый,синий,зеленный.;150 см;5 кг
Лавочка деревянная;bench_econom_wood;Материал: ноги - металл,  сидение - дерево.;скамья коричневая, ножка черная;100 см;8 кг
Столик железный;table_econom_iron;Материал:  металл;Чёрный,серый,коричневый,синий,зеленный.;150 см;15 кг
Столик деревянный;table_econom_wood;Материал: ноги - металл, столешница - дерево.;столешница коричневая, ножка черная;150 см;7 кг
Комплект металлические;complex_econom_iron;Материал:  металл;Чёрный,серый,коричневый,синий,зеленный.;150 см;20 кг
Комплект деревянные;complex_econom_wood;Материал: ноги - металл, столешница и сиденье  - дерево.;столешница и сиденье коричневая, ножка черная ;150 см;15 кг
