post_title;featured_image;stock_status
Дж 1;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 1.jpg;instock
Дж 2;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 2.jpg;instock
Дж 3;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 3.jpg;instock
Дж 4;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 4.jpg;instock
Дж 5;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 5.jpg;instock
Дж 6;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 6.jpg;instock
Дж 7;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 7.jpg;instock
Дж 8;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 8.jpg;instock
Дж 9;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 9.jpg;instock
Дж 10;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 10.jpg;instock
Дж 11;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 11.jpg;instock
Дж 12;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 12.jpg;instock
Дж 13;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 13.jpg;instock
Дж 14;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 14.jpg;instock
Дж 15;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 15.jpg;instock
Дж 16;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 16.jpg;instock
Дж 17;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 17.jpg;instock
Дж 18;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 18.jpg;instock
Дж 19;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 19.jpg;instock
Дж 21;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж 21.jpg;instock
Литая № 1-1;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 1-1.jpg;instock
Литая № 1-2;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 1-2.jpg;instock
Литая № 1-3;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 1-3.jpg;instock
