post_title;featured_image;stock_status
Металл Эконом ;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Металл Эконом.jpg;instock
Металл Солнышко;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Металл Солнышко.jpg;instock
Металл Стандарт;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Металл Стандарт.jpg;instock
Металл № 10 ;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Металл № 10.jpg;instock
Металл  № 15 ;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Металл № 15.jpg;instock
Металл № 13;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Металл № 13.jpg;instock
Металл № 9 ;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Металл № 9.jpg;instock
Металл Труба ;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Металл Труба.jpg;instock
Металл № 14 ;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Металл № 14.jpg;instock
Металл № 17;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Металл № 17.jpg;instock
Литая № 1-1;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 1-1.jpg;instock
Литая № 1-2;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 1-2.jpg;instock
Литая № 1-3;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 1-3.jpg;instock
Литая № 2-1;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 2-1.jpg;instock
Литая № 2-2;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 2-2.jpg;instock
Литая № 2-3;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 2-3.jpg;instock
Литая № 3;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 3.jpg;instock
Литая № 4;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 4.jpg;instock
Литая № 5;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Литая № 5.jpg;instock
Ковка № 1;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Ковка № 1.jpg;instock
Ковка № 2;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Ковка № 2.jpg;instock
Ковка № 3;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Ковка № 3.jpg;instock
Ковка № 4;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Ковка № 4.jpg;instock
Ковка № 7;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Ковка № 7.jpg;instock
Ковка № 8;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Ковка № 8.jpg;instock
Ковка № 10;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Ковка № 10.jpg;instock
Ковка № 11;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Ковка № 11.jpg;instock
Ковка № 13;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Ковка № 13.jpg;instock
Ковка № 14;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Ковка № 14.jpg;instock
Ковка № 15;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Ковка № 15.jpg;instock
МЕВ 001 черная;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/МЕВ 001 черная.jpg;instock
МЕВ 001 светлосерая;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/МЕВ 001 светлосерая.jpg;instock
МЕВ 001 комбинированная;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/МЕВ 001 комбинированная.jpg;instock
МЕВ 001 зеленая;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/МЕВ 001 зеленая.jpg;instock
МЕВ 001 красная;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/МЕВ 001 красная.jpg;instock
МЕВ 001 мрамор комбинированный;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/МЕВ 001 мрамор комбинированный.jpg;instock
SC-001 волна;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/SC-001 волна.jpg;instock
SC-007 круг;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/SC-007 круг.jpg;instock
GFE;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/GFE.jpg;instock
GFK 1;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/GFK 1.jpg;instock
GFK 2;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/GFK 2.jpg;instock
GFP;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/GFP.jpg;instock
Дж ограда 4;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж ограда 4.jpg;instock
Дж ограда 5;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж ограда 5.jpg;instock
Дж ограда 9;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж ограда 9.jpg;instock
Дж ограда 10;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж ограда 10.jpg;instock
Дж ограда 20;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж ограда 20.jpg;instock
Дж ограда 30;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Дж ограда 30.jpg;instock
