post_title;featured_image;stock_status
лавочка ТО 3;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка ТО 3.jpg;instock
лавочка ТЦ 5;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка ТЦ 5.jpg;instock
лавочка ТО 4;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка ТО 4.jpg;instock
лавочка ТО 5;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка ТО 5.jpg;instock
лавочка TSK 50;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка TSK 50.jpg;instock
лавочка TSR 50;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка TSR 50.jpg;instock
лавочка TSK 90;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка TSK 90.jpg;instock
лавочка Кен;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка Кен.jpg;instock
лавочка Сигма ;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка Сигма.jpg;instock
лавочка Ласточка;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка Ласточка.jpg;instock
лавочка ТО 3 светло серая;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка ТО 3 светло серая.jpg;instock
лавочка ТО 4 светло серая;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/лавочка ТО 4 светло серая.jpg;instock
Столик ТО 3;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик ТО 3.jpg;instock
Столик ТЦ 5;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик ТЦ 5.jpg;instock
Столик ТО 4;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик ТО 4.jpg;instock
Столик ТО 5;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик ТО 5.jpg;instock
Столик TSK 50;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик TSK 50.jpg;instock
Столик TSR 50;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик TSR 50.jpg;instock
Столик TSK 90;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик TSK 90.jpg;instock
Столик Кен;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик Кен.jpg;instock
Столик Сигма;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик Сигма.jpg;instock
Стол Ласточка;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Стол Ласточка.jpg;instock
Столик ТО 3 светло серый;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик ТО 3 светло серый.jpg;instock
Столик ТО 4 светло серый;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик ТО 4 светло серый.jpg;instock
комплект ТО 3;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/комплект ТО 3.jpg;instock
Комплект  ТЦ 5;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект ТЦ 5.jpg;instock
Комплект ТО 4;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект ТО 4.jpg;instock
Комплект ТО 5;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект ТО 5.jpg;instock
Комплект TSK 50;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект TSK 50.jpg;instock
Комплект TSR 50;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект TSR 50.jpg;instock
Комплект TSK 90;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект TSK 90.jpg;instock
Комплект Кен;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект Кен.jpg;instock
Комплект Сигма;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект Сигма.jpg;instock
Комплект Ласточка;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект Ласточка.jpg;instock
Комплект  ТО 3 светло серый;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект ТО 3 светло серый.jpg;instock
Комплект ТО 4 светло серый ;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект ТО 4 светло серый.jpg;instock
Лавочка железная;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Лавочка железная.jpg;instock
Лавочка деревянная;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Лавочка деревянная.jpg;instock
Столик железный;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик железный.jpg;instock
Столик деревянный;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Столик деревянный.jpg;instock
Комплект металлические;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект металлические.jpg;instock
Комплект деревянные;http://pavelrai.ru/wp-content/uploads/2014/catalog_parcer/Комплект деревянные.jpg;instock
