Ваза Дуэт;http://pavelrai.ru/wp-content/uploads/catalog_parcer/﻿Ваза Дуэт.jpg;Ваза ритуальная “ВАЗАРИТ” предназначена для установки в почву внутри цветников и последующего размещения в ней живых и искусственных цветов.Изделие состоит и двух частей: внешней (рис. 1) и внутренней (рис. 2) колб, не пропускающих воду, ударопрочных и стойких к воздействию низких температур.Температурный диапазон эксплуатации: от -50Сº до +110Сº. 
Ваза квадро;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Ваза квадро.jpg;Использование в качестве  вазы для размещения в ней живых цветов и искусственных композиций. Температурный диапазон эксплуатации: от -50Сº до +110Сº. 
Ваза Мраморная крошка;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Ваза Мраморная крошка.jpg;Вазы из бетона и наполнителя мраморная крошка
Ваза 1;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Ваза 1.jpg;Классическая форма вазы
Ваза 2;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Ваза 2.jpg;Классическая форма вазы с удлиненной ножкой
Ваза 3;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Ваза 3.jpg;Узкая форма классической вазы
Ваза 4;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Ваза 4.jpg;Классическая форма вазы с утолщенным верхом
Ваза 5;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Ваза 5.jpg;Широкая классическая форма вазы 
Ваза 8;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Ваза 8.jpg;Форма Сигма
Ваза 9;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Ваза 9.jpg;Форма вазы  в виде открытого цветка
Ваза 10;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Ваза 10.jpg;Форма вазы  в виде закрытого бутона тюльпана
Полу-ваза мрамор;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Полу-ваза мрамор.jpg;Половинка вазы приклеивается к поверхности памятника и являет собой единое целое с памятником.
Полу-ваза гранит;http://pavelrai.ru/wp-content/uploads/catalog_parcer/Полу-ваза гранит.jpg;Половинка вазы приклеивается к поверхности памятника и являет собой единое целое с памятником.
бронза 1030;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 1030.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 4021;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 4021.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 1110;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 1110.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 6452;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 6452.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 1155;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 1155.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 5043;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 5043.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 1227;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 1227.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 60010;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 60010.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 63140;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 63140.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 4225;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 4225.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 2240;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 2240.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 2183;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 2183.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 1270;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 1270.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 6892;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 6892.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 5974;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 5974.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
бронза 2244;http://pavelrai.ru/wp-content/uploads/catalog_parcer/бронза 2244.jpg;Индивидуальная  форма вазы. Производство Италия. Бронза
